"order","slug","title","venue","year","role","summary","description","role_de","summary_de","description_de"
"1","tirailleurs","Tirailleurs: Trials and Tribulations","HKW, Berlin","2026","Exhibition Architecture","Exhibition architecture for Tirailleurs: Trials and Tribulations at Haus der Kulturen der Welt (HKW), Berlin, curated by Paz Guevara and Bonaventure Soh Bejeng Ndikung.","Exhibition architecture for <em>Tirailleurs: Trials and Tribulations</em> at Haus der Kulturen der Welt (HKW), Berlin, curated by Paz Guevara and Bonaventure Soh Bejeng Ndikung. The exhibition reframes the marginalized histories of the Tirailleurs through works by contemporary artists alongside archival and thematic sections. The spatial language, developed in close collaboration with the curatorial team, opens the exhibition as a common space for celebration and listening. Photos: Hanna Wiedemann / HKW.","Ausstellungsarchitektur","","Ausstellungsarchitektur für <em>Tirailleurs: Trials and Tribulations</em> im Haus der Kulturen der Welt (HKW), Berlin, kuratiert von Paz Guevara und Bonaventure Soh Bejeng Ndikung. Die Ausstellung rückt die verdrängten Geschichten der Tirailleurs in den Blick — mit Arbeiten zeitgenössischer Künstler:innen sowie archivarischen und thematischen Kapiteln. Die räumliche Sprache, in enger Zusammenarbeit mit dem kuratorischen Team entwickelt, öffnet die Ausstellung als gemeinsamen Ort des Feierns und des Zuhörens. Fotos: Hanna Wiedemann / HKW."
"2","a-verse","Åsa Jungnelius: A Verse, Written with Earth, Fire, Water, and Air","Pera Museum, Istanbul","2025","Exhibition Design & Installation Management","Exhibition architecture and spatial concept for the first solo exhibition of Swedish artist Åsa Jungnelius in Turkey, curated by Elif Kamışlı.","Exhibition architecture and spatial concept for the first solo exhibition of Swedish artist Åsa Jungnelius in Turkey, curated by Elif Kamışlı. The exhibition brings together Jungnelius's glass and marble sculptures — including four new works produced with glassworkers in Denizli — alongside historical glass objects, handwoven cords, and Peo Olsson's photographs of obsidian fields in Eastern Anatolia. The spatial concept is conceived as a landscape oscillating between stillness and density, in which a scaffold structure built into the gallery acts as both display armature and conceptual framework.","Ausstellungsgestaltung & Aufbauleitung","","Ausstellungsarchitektur und Raumkonzept für die erste Einzelausstellung der schwedischen Künstlerin Åsa Jungnelius in der Türkei, kuratiert von Elif Kamışlı. Die Ausstellung führt Jungnelius’ Glas- und Marmorskulpturen — darunter vier neue Arbeiten, die mit Glasbläser:innen in Denizli entstanden — mit historischen Glasobjekten, handgewebten Schnüren und Peo Olssons Fotografien der Obsidianfelder Ostanatoliens zusammen. Das Raumkonzept ist als Landschaft zwischen Stille und Dichte angelegt: Ein in den Saal eingebautes Gerüst dient zugleich als Display und als gedankliches Gerüst der Ausstellung."
"3","feelings-in-common","Feelings in Common","Pera Museum, Istanbul","2025","Exhibition Design & Installation Management","Exhibition architecture for Feelings in Common: Works from the British Council Collection, curated by Ulya Soley, organized around the show's three chapters — “Preserving Care,” “Familiar Faces,” and “Future Perfect.” The spatial design shaped the galleries as chambers of resonance, where works by 29 artists — among them Lucian Freud, David Hockney, Sarah Lucas, Wolfgang Tillmans, Sonia Boyce, and Gilbert &amp; George — could meet across generations and mediums.","Exhibition architecture for <em>Feelings in Common: Works from the British Council Collection</em>, curated by Ulya Soley, organized around the show's three chapters — “Preserving Care,” “Familiar Faces,” and “Future Perfect.” The spatial design shaped the galleries as chambers of resonance, where works by 29 artists — among them Lucian Freud, David Hockney, Sarah Lucas, Wolfgang Tillmans, Sonia Boyce, and Gilbert &amp; George — could meet across generations and mediums.","Ausstellungsgestaltung & Aufbauleitung","","Ausstellungsarchitektur für <em>Feelings in Common: Works from the British Council Collection</em>, kuratiert von Ulya Soley, entlang der drei Kapitel der Schau — „Preserving Care“, „Familiar Faces“ und „Future Perfect“. Die Gestaltung formt die Säle als Resonanzräume, in denen Arbeiten von 29 Künstler:innen — unter ihnen Lucian Freud, David Hockney, Sarah Lucas, Wolfgang Tillmans, Sonia Boyce und Gilbert &amp; George — über Generationen und Medien hinweg aufeinandertreffen."
"4","gelecek-hatiralari","Souvenirs of the Future","Pera Museum, Istanbul","2023","Exhibition Design & Installation Management","Full exhibition design and installation management for Souvenirs of the Future at Pera Museum.","Full exhibition design and installation management for <em>Souvenirs of the Future</em> at Pera Museum. The exhibition explored the connections between memory, imagination, and objects, focusing on the Suna and İnan Kıraç Foundation Kütahya Tiles and Ceramics Collection, integrating contemporary artworks with historical artifacts in a fluid narrative.","Ausstellungsgestaltung & Aufbauleitung","","Gesamte Ausstellungsgestaltung und Aufbauleitung für <em>Souvenirs of the Future</em> im Pera Museum. Die Ausstellung untersuchte die Verbindungen zwischen Erinnerung, Vorstellungskraft und Objekt ausgehend von der Kütahya-Fliesen- und Keramiksammlung der Suna und İnan Kıraç Stiftung und verband zeitgenössische Arbeiten mit historischen Artefakten zu einer durchlässigen Erzählung."
"5","disobedience-archive","Disobedience Archive: Park","SALT Beyoğlu, Istanbul","2014","Participant & Exhibition Designer — with Herkes İçin Mimarlık","Curated by Marco Scotini and Andris Brinkmanis, with architectural setting by Herkes İçin Mimarlık.","Curated by Marco Scotini and Andris Brinkmanis, with architectural setting by Herkes İçin Mimarlık. <em>Disobedience Archive</em> brings a comprehensive map of social conflict and a network of contemporary activism to town, shortly after the Gezi Park protests reshaped the struggle for the right to the city.","Teilnehmer & Ausstellungsgestalter — mit Herkes İçin Mimarlık","","Kuratiert von Marco Scotini und Andris Brinkmanis, mit der räumlichen Einrichtung von Herkes İçin Mimarlık. <em>Disobedience Archive</em> bringt eine umfassende Kartierung sozialer Konflikte und ein Netzwerk zeitgenössischen Aktivismus in die Stadt — kurz nachdem die Gezi-Proteste den Kampf um das Recht auf Stadt neu bestimmt hatten."
"6","once-upon-a-time","Füsun Onur: Once Upon a Time…","Pavilion of Turkey, 59th Venice Biennale","2022","Exhibition Designer","Design and setup of the Pavilion of Turkey at the 59th International Art Exhibition — La Biennale di Venezia, showcasing Füsun Onur's mixed media installation Once upon a time… The installation's dynamic arrangement of metal wire sculptures, everyday objects, and delicate materials created a poetic and spatial experience; the role involved coordinating the spatial layout and managing the exhibition setup.","Design and setup of the Pavilion of Turkey at the 59th International Art Exhibition — La Biennale di Venezia, showcasing Füsun Onur's mixed media installation <em>Once upon a time…</em> The installation's dynamic arrangement of metal wire sculptures, everyday objects, and delicate materials created a poetic and spatial experience; the role involved coordinating the spatial layout and managing the exhibition setup.","Ausstellungsgestaltung","","Gestaltung und Aufbau des Pavillons der Türkei auf der 59. Internationalen Kunstausstellung — La Biennale di Venezia, mit Füsun Onurs Mixed-Media-Installation <em>Once upon a time…</em> Die Anordnung aus Drahtskulpturen, Alltagsgegenständen und fragilen Materialien schuf eine poetische Raumerfahrung; die Aufgabe umfasste die räumliche Disposition und die Leitung des Aufbaus."
"7","occupy-gezi-architecture","#OccupyGezi Architecture","SALT Beyoğlu, Istanbul","2014","Editor & Coordinator — with Herkes İçin Mimarlık","An archive project documenting the spatial practices of the Gezi resistance.","An archive project documenting the spatial practices of the Gezi resistance. Exhibited at SALT Istanbul, V&amp;A Museum London (<em>Disobedient Objects</em>), nGbK Berlin, MAXXI Rome, the 2nd Istanbul Design Biennial, Hidden Playground Cologne, Adhocracy Athens, and the Art Institute of Chicago.","Redaktion & Koordination — mit Herkes İçin Mimarlık","","Ein Archivprojekt, das die räumlichen Praktiken des Gezi-Widerstands dokumentiert. Gezeigt im SALT Istanbul, im V&amp;A Museum London (<em>Disobedient Objects</em>), in der nGbK Berlin, im MAXXI Rom, auf der 2. Istanbul Design Biennale, im Hidden Playground Köln, bei Adhocracy Athen und im Art Institute of Chicago."
"8","secret-ingredient","Secret Ingredient","3rd Chicago Architecture Biennial","2019","With Architecture for All (Herkes İçin Mimarlık)","A project for the 3rd Chicago Architecture Biennial at Anthony Overton Elementary School in Bronzeville, aiming to reconnect the closed school with the local community through participatory design and food culture.","A project for the 3rd Chicago Architecture Biennial at Anthony Overton Elementary School in Bronzeville, aiming to reconnect the closed school with the local community through participatory design and food culture. Large picnic tables inspired by the neighborhood's communal dining practices created a welcoming space for gathering and storytelling, hosting the <em>Community Potluck</em> event.","Mit Architecture for All (Herkes İçin Mimarlık)","","Ein Projekt für die 3. Chicago Architecture Biennial in der stillgelegten Anthony Overton Elementary School in Bronzeville, das die Schule über partizipatives Entwerfen und Esskultur wieder mit der Nachbarschaft verbindet. Große Picknicktische, angelehnt an die gemeinschaftlichen Esspraktiken des Viertels, schufen einen offenen Ort zum Zusammenkommen und Erzählen — Schauplatz des <em>Community Potluck</em>."
"9","silent-university-istanbul","The Silent University Orientation Program","17th Istanbul Biennial","2022","Exhibition Coordination, Installation & Production Design","Coordination, installation and production design for The Silent University Orientation Program, initiated by Ahmet Öğüt at the 17th Istanbul Biennial.","Coordination, installation and production design for <em>The Silent University Orientation Program</em>, initiated by Ahmet Öğüt at the 17th Istanbul Biennial. The program brought together online lectures and on-site events addressing the right to education for displaced people and forced migrants.","Ausstellungskoordination, Aufbau & Produktionsdesign","","Koordination, Aufbau und Produktionsdesign für <em>The Silent University Orientation Program</em>, initiiert von Ahmet Öğüt auf der 17. Istanbul Biennale. Das Programm verband Online-Vorlesungen mit Veranstaltungen vor Ort und verhandelte das Recht auf Bildung für Geflüchtete und Vertriebene."
"10","arazi-x-topological-istanbul","State of Displacement: Entangled Topographies","17th Istanbul Biennial","2022","Artist, Installation & Production Design","Organized by Arazi Assembly and Topological Atlas at the 17th Istanbul Biennial, the exhibition explored the displacement of communities in the Tigris basin — forced displacements, dispossessed female farmers, undocumented migrants, and urban/rural resistance practices.","Organized by Arazi Assembly and Topological Atlas at the 17th Istanbul Biennial, the exhibition explored the displacement of communities in the Tigris basin — forced displacements, dispossessed female farmers, undocumented migrants, and urban/rural resistance practices.","Künstler, Aufbau & Produktionsdesign","","Organisiert von Arazi Assembly und Topological Atlas auf der 17. Istanbul Biennale, untersuchte die Ausstellung die Vertreibung von Gemeinschaften im Tigris-Becken — Zwangsumsiedlungen, enteignete Bäuerinnen, Migrant:innen ohne Papiere sowie städtische und ländliche Formen des Widerstands."
